eVs,Wavelength,Si,GaAs,CdTe,CdTe monocrystalline,CdTe_FCA,CIGS,CIS,GaNP,GaNP older,GaAs_Aspnes,GaAs_Sze,GaAs_Adachi,GaAs_Sturge,Old_CdTe,perovskite triple cation,perovskite MaPI,MaPI no extrapolation,MaPI extrapolated,MaPI extrapolated highly extrapolated,Triple Cation Perovskite Urbach Tail Hybrid,GaAs_Palik_eyeballed,GaAs_Palik_Urbach,GaAs_original_data
0.309960612,4000.001993,6.90E-28,5.09E-33,3.13E-64,0,6.71E-18,3.59E-46,0,0,0,0,0,0,1.00E-34,0,6.32E-34,0,0,0,0.00E+00,6.40E-34,0,2.08E-29,0
0.310348547,3995.002,7.12E-28,5.24E-33,3.30E-64,0,6.69E-18,3.78E-46,0,0,0,0,0,0,1.00E-34,0,6.48E-34,0,0,0,0.00E+00,6.57E-34,0,2.13E-29,0
0.310737455,3990.001997,7.35E-28,5.39E-33,3.47E-64,0,6.66E-18,3.99E-46,0,0,0,0,0,0,1.00E-34,0,6.65E-34,0,0,0,0.00E+00,6.74E-34,0,2.18E-29,0
0.311127339,3985.001993,7.58E-28,5.54E-33,3.66E-64,0,6.64E-18,4.21E-46,0,0,0,0,0,0,1.00E-34,0,6.83E-34,0,0,0,0.00E+00,6.92E-34,0,2.24E-29,0
0.311518203,3980.001984,7.83E-28,5.70E-33,3.85E-64,0,6.62E-18,4.43E-46,0,0,0,0,0,0,1.00E-34,0,7.01E-34,0,0,0,0.00E+00,7.10E-34,0,2.30E-29,0
0.31191005,3975.001979,8.08E-28,5.87E-33,4.06E-64,0,6.59E-18,4.68E-46,0,0,0,0,0,0,1.00E-34,0,7.20E-34,0,0,0,0.00E+00,7.29E-34,0,2.36E-29,0
0.312302883,3970.001986,8.34E-28,6.04E-33,4.28E-64,0,6.57E-18,4.93E-46,0,0,0,0,0,0,1.00E-34,0,7.39E-34,0,0,0,0.00E+00,7.49E-34,0,2.42E-29,0
0.312696708,3965.001978,8.61E-28,6.22E-33,4.51E-64,0,6.55E-18,5.20E-46,0,0,0,0,0,0,1.00E-34,0,7.58E-34,0,0,0,0.00E+00,7.69E-34,0,2.48E-29,0
0.313091527,3960.001977,8.89E-28,6.40E-33,4.76E-64,0,6.53E-18,5.49E-46,0,0,0,0,0,0,1.00E-34,0,7.79E-34,0,0,0,0.00E+00,7.89E-34,0,2.55E-29,0
0.313487344,3955.001979,9.18E-28,6.59E-33,5.02E-64,0,6.50E-18,5.79E-46,0,0,0,0,0,0,1.00E-34,0,7.99E-34,0,0,0,0.00E+00,8.10E-34,0,2.61E-29,0
0.313884164,3950.001969,9.49E-28,6.78E-33,5.29E-64,0,6.48E-18,6.11E-46,0,0,0,0,0,0,1.00E-34,0,8.21E-34,0,0,0,0.00E+00,8.32E-34,0,2.68E-29,0
0.314281989,3945.00197,9.80E-28,6.98E-33,5.58E-64,0,6.46E-18,6.45E-46,0,0,0,0,0,0,1.00E-34,0,8.43E-34,0,0,0,0.00E+00,8.54E-34,0,2.75E-29,0
0.314680824,3940.001968,1.01E-27,7.18E-33,5.89E-64,0,6.44E-18,6.80E-46,0,0,0,0,0,0,1.00E-34,0,8.66E-34,0,0,0,0.00E+00,8.77E-34,0,2.83E-29,0
0.315080673,3935.00196,1.05E-27,7.40E-33,6.21E-64,0,6.41E-18,7.18E-46,0,0,0,0,0,0,1.00E-34,0,8.89E-34,0,0,0,0.00E+00,9.01E-34,0,2.90E-29,0
0.315481539,3930.001958,1.08E-27,7.62E-33,6.55E-64,0,6.39E-18,7.58E-46,0,0,0,0,0,0,1.00E-34,0,9.13E-34,0,0,0,0.00E+00,9.25E-34,0,2.98E-29,0
0.315883426,3925.001959,1.12E-27,7.84E-33,6.91E-64,0,6.37E-18,8.01E-46,0,0,0,0,0,0,1.00E-34,0,9.38E-34,0,0,0,0.00E+00,9.50E-34,0,3.06E-29,0
