eVs,wavelength_nm,Si,GaAs,CdTe,CIS,CIGS,GaNP,perovskite triple cation,perovskite MaPI
0.309960612,4000,3.485,3.303656219,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.310348547,3995,3.485,3.303693461,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.310737455,3990,3.485,3.303730796,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.311127339,3985,3.485,3.303768225,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.311518203,3980,3.485,3.303805747,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.31191005,3975,3.485,3.303843365,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.312302883,3970,3.485,3.303881077,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.312696708,3965,3.485,3.303918884,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.313091527,3960,3.485,3.303956787,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.313487344,3955,3.485,3.303994785,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.313884164,3950,3.485,3.30403288,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.314281989,3945,3.485,3.304071071,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.314680824,3940,3.485,3.304109359,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.315080673,3935,3.485,3.304147745,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.315481539,3930,3.485,3.304186228,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.315883426,3925,3.485,3.304224809,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.316286338,3920,3.485,3.304263488,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.31669028,3915,3.485,3.304302267,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.317095255,3910,3.485,3.304341144,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.317501267,3905,3.485,3.304380122,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.31790832,3900,3.485,3.304419199,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.318316418,3895,3.485,3.304458376,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.318725565,3890,3.485,3.304497654,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.319135765,3885,3.485,3.304537033,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.319547022,3880,3.485,3.304576514,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.319959341,3875,3.485,3.304616097,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.320372725,3870,3.485,3.304655782,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.320787179,3865,3.485,3.304695569,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.321202706,3860,3.485,3.30473546,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.321619312,3855,3.485,3.304775454,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.322036999,3850,3.485,3.304815552,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.322455773,3845,3.485,3.304855754,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.322875637,3840,3.485,3.304896061,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.323296596,3835,3.485,3.304936473,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.323718655,3830,3.485,3.304976991,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.324141816,3825,3.485,3.305017614,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.324566086,3820,3.485,3.305058344,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.324991467,3815,3.485,3.305099181,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.325417965,3810,3.485,3.305140125,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.325845584,3805,3.485,3.305181176,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.326274328,3800,3.485,3.305222335,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.326704202,3795,3.485,3.305263603,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.32713521,3790,3.485,3.30530498,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.327567357,3785,3.485,3.305346466,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.328000647,3780,3.485,3.305388062,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.328435085,3775,3.485,3.305429768,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.328870676,3770,3.485,3.305471585,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.329307423,3765,3.485,3.305513513,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.329745332,3760,3.485,3.305555552,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.330184407,3755,3.485,3.305597703,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.330624652,3750,3.485,3.305639967,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.331066074,3745,3.485,3.305682343,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.331508676,3740,3.485,3.305724833,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.331952462,3735,3.485,3.305767436,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.332397439,3730,3.485,3.305810154,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.33284361,3725,3.485,3.305852987,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.33329098,3720,3.485,3.305895934,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.333739555,3715,3.485,3.305938997,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.334189339,3710,3.485,3.305982177,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.334640337,3705,3.485,3.306025472,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.335092553,3700,3.485,3.306068885,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.335545994,3695,3.485,3.306112415,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.336000663,3690,3.485,3.306156064,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.336456566,3685,3.485,3.30619983,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.336913708,3680,3.485,3.306243716,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.337372094,3675,3.485,3.306287721,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.337831729,3670,3.485,3.306331846,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.338292618,3665,3.485,3.306376091,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.338754767,3660,3.485,3.306420458,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.33921818,3655,3.485,3.306464945,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.339682862,3650,3.485,3.306509555,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.340148819,3645,3.485,3.306554287,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.340616057,3640,3.485,3.306599141,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.34108458,3635,3.485,3.30664412,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.341554393,3630,3.485,3.306689222,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.342025503,3625,3.485,3.306734448,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.342497913,3620,3.485,3.3067798,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.342971631,3615,3.485,3.306825277,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.343446661,3610,3.485,3.306870879,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
0.343923009,3605,3.485,3.306916609,2.7,2.89,2.83,3.076109696,2.177315465,2.177315465
